PARTNUMBER,LOTNUMBER,PRODUCTNAME,HASINVENTORY,LASTINVENTORYUPDATE,BUYABLE
el3824pkcaaa02,el3824pkcaaa022jd000003,Flowing Twist Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3824pkcaaa02,el3824pkcaaa022jd000005,Flowing Twist Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el3824pkpaaa02,el3824pkpaaa022jd000001,Contemporary Square Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el4922sdvaaa02,el4922sdvaaa022ja000008,18 KT Yellow Gold Delicate Radians Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el4922sdvaaa02,el4922sdvaaa022ja000005,18 KT Yellow Gold Delicate Radians Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el5923shbada02,el5923shbada022ja000002,Radiant Sunburst 18KT Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el5923shbada02,el5923shbada022ja000008,Radiant Sunburst 18KT Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el5923shbada02,el5923shbada022ja000007,Radiant Sunburst 18KT Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el5923shbada02,el5923shbada022ja000006,Radiant Sunburst 18KT Gold & Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
epw2a2dhgaba00,epw2a2dhgaba002ea000005,Tanishq 22 KT Gold Earrings for Women,TRUE,2025-10-08 10:33:22 IST,TRUE
